figure,analysis,group,term,estimate,ci_lo,ci_hi,p,p_adj,n,ci_level,seed
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M · test_pearson,0.11489669834917458,0.11306956603301652,0.11685097548774387,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M + dose (gate) · test_pearson,0.11489669834917458,0.11306956603301652,0.11685097548774387,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,average_ref · test_pearson,0.17788299918174744,0.17550597173586793,0.18018921335667837,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles · test_pearson,0.11246723361680842,0.11064249624812408,0.11422976488244123,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles + dose (gate) · test_pearson,0.11246723361680842,0.11064249624812408,0.11422976488244123,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,cell-line holdout · test_pearson,0.1298770010471344,0.128000763850543,0.13161288882753544,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,default · test_pearson,0.1514727363681841,0.14919139569784895,0.15390687218609303,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,delta_ref_only · test_pearson,0.10236000269651413,0.10010771010505252,0.10450322661330665,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 · test_pearson,0.10929339669834919,0.10768760630315156,0.11101330665332666,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (concat) · test_pearson,0.0993570014834404,0.09793446601941748,0.10084695862818778,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (gate) · test_pearson,0.10929339669834919,0.10768760630315156,0.11101330665332666,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (onehot) · test_pearson,0.09303800016641617,0.09150998054437598,0.09462952295572892,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.0 · test_pearson,0.1351740062236786,0.13288305402701353,0.1373524699849925,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.1 · test_pearson,0.12325499951839447,0.12085108804402202,0.12548851300650324,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.2 · test_pearson,0.11085300147533417,0.10861239994997499,0.11304439094547274,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.3 · test_pearson,0.10241299867630005,0.10013019634817409,0.10463161580790395,,,,95.0,0
