lincs_position,gene_id,gene_symbol,ensembl_id
569,9670,IPO13,ENSG00000117408
570,9686,VGLL4,ENSG00000144560
571,9688,NUP93,ENSG00000102900
572,9690,UBE3C,ENSG00000009335
573,9695,EDEM1,ENSG00000134109
574,9697,TRAM2,ENSG00000065308
575,9702,CEP57,ENSG00000166037
576,9703,KIAA0100,ENSG00000007202
577,9709,HERPUD1,ENSG00000051108
578,9710,KIAA0355,ENSG00000166398
579,9712,USP6NL,ENSG00000148429
580,9738,CCP110,ENSG00000103540
581,9761,MLEC,ENSG00000110917
582,9797,TATDN2,ENSG00000157014
583,9801,MRPL19,ENSG00000115364
584,9805,SCRN1,ENSG00000136193
585,9813,EFCAB14,ENSG00000159658
586,9817,KEAP1,ENSG00000079999
587,9833,MELK,ENSG00000165304
588,9842,PLEKHM1,ENSG00000225190
589,9847,C2CD5,ENSG00000111731
590,9851,KIAA0753,ENSG00000198920
591,9854,C2CD2L,ENSG00000172375
592,9868,TOMM70,ENSG00000154174
593,9897,WASHC5,ENSG00000164961
594,9903,KLHL21,ENSG00000162413
595,9915,ARNT2,ENSG00000172379
596,9917,FAM20B,ENSG00000116199
597,9918,NCAPD2,ENSG00000010292
598,9924,PAN2,ENSG00000135473
599,9926,LPGAT1,ENSG00000123684
600,9928,KIF14,ENSG00000118193
601,9943,OXSR1,ENSG00000172939
602,9961,MVP,ENSG00000013364
603,9988,DMTF1,ENSG00000135164
604,10007,GNPDA1,ENSG00000113552
605,10013,HDAC6,ENSG00000094631
606,10038,PARP2,ENSG00000129484
607,10046,MAMLD1,ENSG00000013619
608,10049,DNAJB6,ENSG00000105993
609,10051,SMC4,ENSG00000113810
610,10057,ABCC5,ENSG00000114770
611,10058,ABCB6,ENSG00000115657
612,10059,DNM1L,ENSG00000087470
613,10099,TSPAN3,ENSG00000140391
614,10112,KIF20A,ENSG00000112984
615,10123,ARL4C,ENSG00000188042
616,10131,TRAP1,ENSG00000126602
617,10146,G3BP1,ENSG00000145907
618,10150,MBNL2,ENSG00000139793
619,10153,CEBPZ,ENSG00000115816
620,10165,SLC25A13,ENSG00000004864
621,10174,SORBS3,ENSG00000120896
622,10180,RBM6,ENSG00000004534
623,10190,TXNDC9,ENSG00000115514
624,10206,TRIM13,ENSG00000204977
625,10221,TRIB1,ENSG00000173334
626,10227,MFSD10,ENSG00000109736
627,10237,SLC35B1,ENSG00000121073
628,10245,TIMM17B,ENSG00000126768
629,10270,AKAP8,ENSG00000105127
630,10273,STUB1,ENSG00000103266
631,10276,NET1,ENSG00000173848
632,10285,SMNDC1,ENSG00000119953
633,10298,PAK4,ENSG00000130669
634,10318,TNIP1,ENSG00000145901
635,10320,IKZF1,ENSG00000185811
636,10329,RXYLT1,ENSG00000118600
637,10362,HMG20B,ENSG00000064961
638,10398,MYL9,ENSG00000101335
639,10434,LYPLA1,ENSG00000120992
640,10450,PPIE,ENSG00000084072
641,10451,VAV3,ENSG00000134215
642,10489,LRRC41,ENSG00000132128
643,10491,CRTAP,ENSG00000170275
644,10493,VAT1,ENSG00000108828
645,10494,STK25,ENSG00000115694
646,10513,APPBP2,ENSG00000062725
647,10523,CHERP,ENSG00000085872
648,10525,HYOU1,ENSG00000149428
649,10557,RPP38,ENSG00000152464
650,10559,SLC35A1,ENSG00000164414
651,10589,DRAP1,ENSG00000175550
652,10606,PAICS,ENSG00000128050
653,10610,ST6GALNAC2,ENSG00000070731
654,10617,STAMBP,ENSG00000124356
655,10641,NPRL2,ENSG00000114388
656,10644,IGF2BP2,ENSG00000073792
657,10652,YKT6,ENSG00000106636
658,10668,CGRRF1,ENSG00000100532
659,10670,RRAGA,ENSG00000155876
