exp_key,dataset,category,label,n_train,train_pearson,val_pearson,test_pearson,train_spearman,val_spearman,test_spearman,test_l2,test_cosine_sim,test_pearson_lo,test_pearson_hi,test_spearman_lo,test_spearman_hi,test_l2_lo,test_l2_hi,test_cosine_sim_lo,test_cosine_sim_hi
tahoe_Morgan_512_dose_gate,Tahoe,dose_encoding,Morgan_512 + dose (gate),39709.0,0.47926101088523865,0.3695499897003174,0.44825672717909104,0.362409,0.280066,0.33594438006952493,7.836104029869962,0.4479799150251062,0.44385232393459506,0.45218919788850265,0.3327796446504442,0.3389278679026651,7.76755082399897,7.9073569267413415,0.44356723960345046,0.451972930346337
tahoe_bert-base-smiles_dose_gate,Tahoe,dose_encoding,bert-base-smiles + dose (gate),39709.0,0.4533520042896271,0.3656170070171356,0.4274584781769023,0.341388,0.271935,0.31748551564310545,7.992613621732973,0.42715849105188614,0.42309337582078027,0.4319546156817304,0.3143516801853998,0.3205641817947728,7.925130423586971,8.062920786661518,0.42282853740182824,0.43164844856443924
tahoe_cellline_holdout,Tahoe,holdout,cell-line holdout,29792.0,0.8618370294570923,0.6674630045890808,0.6424570083618164,0.707353,0.507583,0.485191,7.058465003967285,0.6425729990005493,0.6393403213304206,0.6458735289972518,0.482174459164259,0.48832379677260235,6.991110615883306,7.12911815587344,0.6394465858642802,0.6460069057853569
tahoe_default_config,Tahoe,ablation,default,39685.0,0.8430789709091187,0.7771199941635132,0.7907055491180636,0.680932,0.615028,0.628236127204841,5.29209475988155,0.7908124114844857,0.7883077764902794,0.7929535534955582,0.6259958156302305,0.6303450817561479,5.2341430088837395,5.352024398094502,0.7883776554654306,0.7930398802626497
tahoe_default_landmark_genes,Tahoe,ablation,landmark_genes,39685.0,0.8487110137939453,0.7958109974861145,0.7921629972962533,0.77585,0.715807,0.7132367709540361,1.613548345564568,0.7926934466331917,0.7896365713917857,0.7944692609759237,0.7107684756019055,0.7155285502768122,1.5956297476503156,1.6318365198918503,0.790188457576928,0.7949798828376464
tahoe_delta_ref_only,Tahoe,ablation,delta_ref_only,39685.0,0.6777709722518921,0.6430349946022034,0.6398119926452637,0.516848,0.478996,0.479116,6.6983442306518555,0.6399589776992798,0.6371840800823998,0.6427442384447021,0.4768479464400669,0.4817411162611047,6.6334761812797725,6.770563859920176,0.6373215205355993,0.6429254538431827
tahoe_random_512_dose_concat,Tahoe,dose_encoding,random_512 + dose (concat),39709.0,0.4741779863834381,0.35040900111198425,0.4173260033130646,0.347985,0.253181,0.29853,7.969974040985107,0.4169420003890991,0.4133608214239733,0.42140044418694483,0.29574980687524144,0.30130516930603846,7.894954197244753,8.046579148963565,0.4129130938586326,0.42101876528904336
tahoe_random_512_dose_gate,Tahoe,dose_encoding,random_512 + dose (gate),39709.0,0.4535059928894043,0.36255601048469543,0.43851422685721647,0.340408,0.271915,0.32609244238444707,7.889656237929702,0.4381846272692159,0.4343056843053946,0.4424072679284151,0.32300160937298833,0.32889954293807133,7.819996040942449,7.959624147032317,0.43395223380970777,0.44209685206643495
tahoe_random_512_dose_onehot,Tahoe,dose_encoding,random_512 + dose (onehot),39709.0,0.43255698680877686,0.34909000992774963,0.4169360101222992,0.313347,0.250534,0.29744,7.977582931518555,0.4165849983692169,0.4129916312604609,0.421068816788979,0.2945603192996009,0.30023957126303596,7.903665153856057,8.053789751512811,0.4126701107248616,0.42079715462855666
tahoe_unimolv1_84m_dose_gate,Tahoe,dose_encoding,UniMolv1-84M + dose (gate),39709.0,0.48401400446891785,0.36662599444389343,0.4195017381228273,0.366133,0.272589,0.3092790009012489,8.073460795674006,0.41909875112656114,0.4149655916055105,0.42395010943736317,0.3060236577829278,0.312427063216171,8.005731556585555,8.143875305780869,0.4145790202137247,0.4235610917986352
